"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
"1",223006288,330628,1971798,4211493,1105019,729732,583794,1024055,234075,553160,125557,774401,1386131,1146892,600992,408389,1630086,2927422,2861339,1505897,876138,385567
"2",49601,6986116,165691,14056,143223,2100,2282,8379,59575,6557,203272,1005,6624,12812,19120,944,2642,4793,4253,981,2895,7219
"3",509506,155342,14037839,83856,7725,63550,4300,11270,2621,15575,1901,25017,9171,38474,4098,34889,18040,34134,24606,2827,7041,33306
"4",2149573,47932,167518,43825641,106474,330187,95605,55716,87182,25461,58370,39769,54166,30517,96329,59181,58753,191183,320113,15797,474025,411253
"5",343539,166230,6166,39683,18874563,21979,233971,226539,17394,1994,21980,15454,66669,106151,111015,210844,259874,264434,3162,7245,103706,109819
"6",219812,2664,100275,63287,36877,25944235,1123,271336,50269,1010,111,3956,5158,288184,58969,21356,218854,74513,3657,214,918,12616
"7",586669,2013,8412,38104,233062,2609,13773096,71807,736899,7884,38540,17823,178745,3380,11048,16124,36177,15717,488364,8313,19345,2184
"8",315144,3278,8498,9714,459168,266885,44827,16136068,28609,418,27374,4443,1877,2468,27554,21798,1139,9124,3227,76491,1199,44517
"9",259174,24134,11812,95249,32804,335284,437820,69998,32201426,87585,70168,19430,39226,23486,14761,51235,374416,674756,619790,26861,99538,25372
"10",120077,2730,9007,8248,3994,1209,3222,2703,33901,3448477,2539,3957,2795,9438,6033,7441,26900,22756,8766,6112,21236,2122
"11",227166,159398,5075,41915,152242,3055,119917,208571,354970,18581,47411015,11221,724331,147990,15984,11932,23814,68145,55495,36279,16311,31143
"12",130294,1830,11776,17319,44715,1642,53260,4771,2842,3325,3278,3957419,134654,380,62641,6583,9872,133908,27644,854,5022,1458
"13",226585,19607,6194,10223,57784,8945,35815,865,4460,3324,73816,61745,16241431,6865,151073,3920,8175,132222,93675,94,874,856
"14",150921,17961,4535,4386,43423,103674,3728,849,10854,2989,18451,549,11445,6925552,562,30664,448,16221,149,36,16481,61198
"15",187177,256942,10816,37383,131923,42816,12378,27595,6089,12521,12199,359288,431123,1906,32509667,444818,24481,416555,48473,14051,40678,35522
"16",476741,4420,80862,60045,295076,31418,98568,69334,99071,37716,3489,51756,20149,148222,838969,26665440,55534,852159,53430,24864,20071,22828
"17",337774,2136,27294,9090,241127,97096,10366,1877,174530,4125,3447,11042,18311,381,11313,10799,16145372,78814,25609,13962,13228,2545
"18",1251914,9440,71952,203473,1153776,198959,25489,53251,335639,46631,33242,789208,397461,34150,411427,863654,193274,36327735,128875,50115,189283,22619
"19",462909,1747,13494,16801,3995,289,88044,2076,51486,3560,3390,10787,21903,40,6994,3456,31915,8739,7411676,27060,31670,3559
"20",573740,713,2659,4020,7318,187,5149,28715,16444,3841,11555,898,168,46,22363,10520,87129,19807,38943,11661368,68949,366
"21",621641,4641,21535,178542,165603,3527,41067,7343,562239,41137,6196,16634,5487,51436,198671,21144,117314,119832,86279,590510,57880026,174936
"22",132853,51298,12193,276341,346844,84699,9339,121790,19569,2221,483220,2325,3684,434224,9299,19710,8623,20354,56205,810,92535,22000193
